,ClassName
圆柏灌丛,47
细叶西伯利亚蓼（Polygonum sibiricum var. thomsonii）杂类草草甸,44
西藏亚菊（Ajania tibetica）荒漠,43
芦苇（Phragmites australis）盐生草甸,40
细叶亚菊（Ajania tenuifolia）草原,38
西北针茅（Stipa sareptana var. krylovii）草原,38
垫状金露梅（Potentilla fruticosa var. pumila）灌丛,38
甘肃雪灵芝、垫状点地梅、簇生柔籽草垫状植被,37
沙生针茅（Stipa glareosa）荒漠草原,36
镰叶韭（Allium carolinianum）草原,35
黄帚橐吾（Ligularia virgaurea）杂类草草甸,35
高山柳（Salix cupularis）灌丛,35
薹草、嵩草高寒草甸与匍匐水柏枝灌丛（专为植被图）,33
矮生忍冬（Lonicera rupicola var. minuta ）杂类草草甸,33
糙喙薹草（Carex scabrirostris）草甸,32
大籽蒿（Artemisia sieversiana）草原,32
暗褐薹草（Carex atrofusca）草甸,31
农田作物,30
驼绒藜（Ceratoides latens）荒漠,29
短花针茅（Stipa breviflora）荒漠草原,27
大花嵩草（Kobresia macrantha）草甸,27
紫花针茅（Stipa purpurea）+狼毒（Stellera chamaejasme）草原,25
醉马草（Achnatherum inebrians）草原,25
梭梭（Haloxylon ammondendron）荒漠,25
中亚早熟禾（Poa litwinowiana）高寒草原,25
展苞灯心草（Juncus thomsonii）草甸,24
山杨（Populus davidiana）林,23
针茅（Stipa spp.）草原,23
青海刺参（Morina kokonorica）草原,22
羽柱针茅（Stipa subsessiliflora var. basiplumosa）草原,22
蒿叶猪毛菜（Salsola abrotanoides）荒漠,21
高山薹草（Carex pseudosupina）草原,20
昆仑针茅（Stipa roborowskyi）草原,20
毛瓣棘豆（Oxytropis sericopetala）草原,19
西藏沙棘（Hippophae tibetana）灌丛,19
粗壮嵩草（Kobresia robusta ）草甸,18
高山稀疏植被,16
芦苇（Phragmites australis）沼泽,16
疏花针茅（Stipa penicillata）草原,16
草地早熟禾（Poa pratensis）草甸,15
冻原白蒿（Artemisia stracheyi）草原,15
圆叶盐爪爪（Kalidium schrenkianum）荒漠,15
山生柳（Salix oritrepha）灌丛,14
毛枝山居柳（Salix oritrepha）灌丛,14
藏羊茅（Festuca wallichiana）草原,12
固沙草（Orinus thoroldii）高寒草原,11
大花蒿（Artemisia macrocephala）草原,11
华北落叶松（Larix principis-rupprechtii）+青扦（Picea wilsonii）+白扦（Picea meyeri）混交林,11
方枝圆柏（Juniperus saltuaria）林,11
光沙蒿（Artemisia oxycephala=沙蒿Artemisia arenaria）荒漠,11
紫花针茅（Stipa purpurea）草原（含垫状金露梅）,11
戈壁针茅（Stipa tianschanica var. gobica）荒漠草原,10
三芒草（Aristida adscensionis）草甸,10
黄花枇杷柴（Reaumurea trigyna）荒漠,10
扇穗茅（Littledalea racemosa）高寒草原,10
高山嵩草（Kobresia pygmaea）草甸（含金露梅）,10
鲜卑花、黄花垫柳、金露梅灌丛,9
马蔺（Iris lactea var. chinensis）草甸,9
束伞亚菊（Ajania parviflora）荒漠,9
青藏薹草（Carex moorcroftii）+垫状驼绒藜（Krascheninnikovia compacta）高寒荒漠草原,9
雪层杜鹃（Rhododendron nivale）灌丛,9
隐子草（Cleistogenes spp.）草原,8
青海固沙草（Orinus kokonorica）高寒草原,8
青海云杉（Picea crassifolia）林,8
昆仑蒿（Artemisia nanschanica）草原,8
冷地早熟禾（Poa araratica）草原,7
弱小火绒草(Leontopodium pusillum)草原,7
藏白蒿（Artemisia younghusbandii）高寒草原,7
三角草（Trikeraia hookeri）草甸,7
高山嵩草（Kobresia pygmaea）草甸（含垫状金露梅）,7
黑穗薹草（Carex atrata）草甸,7
马先蒿（Pedicularis spp.）草甸,6
硬叶柳（Salix sclerophylla）灌丛,6
二裂委陵菜（Potentilla bifurca）杂类草草原,6
西藏风毛菊（Saussurea tibetica）高寒草原,6
毛莲蒿（Artemisia vestita）草原,6
合头草（Sympegma regelii）荒漠,6
白桦（Betula platyphylla）林,6
薹状蚤缀与垫状点地梅垫状植被,6
多花柽柳（Tamarix hohenackeri）荒漠,5
膜果麻黄（Ephedra przewalskii）荒漠,5
黑穗画眉草（Eragrostis nigra）沼泽化草甸,5
早熟禾、垂穗披碱草高寒草甸,5
白莲蒿（Artemisia stechmanniana）草原,5
圆叶盐爪爪（Kalidium schrenkianum）、芨芨草（Achnatherum splendens）草原,5
柽柳（Tamarix spp.）荒漠,5
青扦（Picea wilsonii）林,5
鬼箭锦鸡儿（Caragana jubata）灌丛,5
大针茅（Stipa grandis）草原,5
芨芨草（Achnatherum splendens）+驼绒藜（Krascheninnikovia ceratoides）荒漠草原,5
早熟禾（Poa spp.）草甸,5
猫头刺（Oxytropis aciphylla）荒漠,5
胡杨（Populus euphratica）林,5
垂穗披碱草（Elymus nutans）高寒草原,5
黄缨菊（Xanthopappus subacaulis）、狼毒（Stellera chamaejasme）草原化草甸,4
人工草地,4
矮火绒草（Leontopodium nanum ）草原,4
蒿（Artemisia spp.）草原,4
狭叶锦鸡儿（Caragana stenophylla ）荒漠草原,4
唐古特红景天（Rhodiola algida var. tangutica）荒漠,3
烈香杜鹃（Rhododendron anthopogonoides）灌丛,3
水栒子（Cotoneaster multiflorus）灌丛,3
垫状点地梅（Androsace tapete）垫状植被,3
镰荚棘豆（Oxytropis falcata）草原,3
头花杜鹃（Rhododendron capitatum）＋百里香杜鹃（Rh. thimifolium）灌丛,3
高山柏（Juniperus squamata）灌丛,3
硬毛棘豆（Oxytropis fetissovii ）草原,3
穗三毛（Trisetum spicatum）高寒草原,3
三裂碱毛茛（Halerpestes tricuspis）沼泽,3
西北针茅、矮生嵩草（Kobresia humilis）草甸,3
冰岛蓼（Koenigia islandica）草甸,3
高山杜鹃（Rhododendron lapponicum）灌丛,3
铺地小叶金露梅（Potentilla parrifolia ）灌丛,3
匍匐水柏枝（Myricaria prostrata）灌丛,3
笔直黄耆（Astragalus strictus）草原,2
杜鹃（Rhododendron simsii）灌丛,2
轮生叶野决明（Thermopsis inflata）草原,2
藏沙蒿（Artemisia wellbyi ）高寒草原（含砂生槐）,2
川藏蒿（Artemisia tainingensis）杂类草草原,2
紫花针茅（Stipa purpurea）草原（含金露梅）,2
扁刺蔷薇（Rosa sweginzowii）灌丛,2
绢毛蔷薇（Rosa sericea）灌丛,1
绿萼梅（Prunus mume f. viridicalyx）灌丛,1
短穗兔耳草（Lagotis brachystachya）杂类草草甸,1
青藏薹草（Carex moorcroftii）高寒草原(含垫状金露梅),1
雪岭云杉（Picea schrenkiana）林,1
喜马拉雅嵩草（Kobresia royleana）高寒草甸,1
叉枝蓼（Polygonum tortuosum）杂类草高寒草甸,1
青藏大戟(Euphorbia altotibetica)杂类草草原,1
火绒草（Leontopodium leontopodioides）草原,1
小叶栒子（Cotoneaster microphyllus）灌丛,1
独一味（Lamiophlomis rotata）杂类草草甸,1
冰川棘豆（Oxytropis proboscidea）草原,1
川西白刺花（Sophora davidii var. chuansiensis）灌丛,1
青甘韭（Allium przewalskianum ）杂类草草原,1
藏白蒿（Artemisia younghusbandii）高寒草原（含砂生槐）,1
海韭菜（Triglochin maritima）沼泽,1
石生针茅（Stipa tianschanica var. klemenzii）草原,1
刚毛忍冬（Lonicera hispida）灌丛,1
红桦（Betula albo-sinensis）林,1
牛皮消（Cynanchum auriculatum）灌丛,1
白桦（Betula platyphylla）+山杨（Populus davidiana）林,1
吉拉柳（Salix gilashanica）灌丛,1
金花小檗（Berberis wilsoniae）灌丛,1
肋果沙棘（Hippophae neurocarpus）灌丛,1
指裂蒿（Artemisia tridactyla）草原,1
丝颖针茅（Stipa capillacea）高寒草原,1
波伐早熟禾（Poa albertii subsp. poophagorum）高寒草原,1
披针叶野决明（Thermopsis lanceolata）草原,1
窄叶鲜卑花（Sibiraea angustata）灌丛,1
三刺草（Aristida triseta）草原（含砂生槐）,1
藏沙蒿（Artemisia wellbyi ）高寒草原（含金露梅）,1
太白韭（Allium prattii）杂类草高寒草原,1
