FID,÷≤±ª»∫,¥Û¿‡,Vegatation,Code,AET1901,AET1902,AET1903,AET1904,AET1905,AET1906,AET1907,AET1908,AET1909,AET1910,AET1911,AET1912,Full_Exten,Full_Ext_1,Full_Ext_2,Full_Ext_3,Full_Ext_4,Full_Ext_5,Full_Ext_6,Full_Ext_7,QTP_ASPECT,QTP_DEM,QTP_SLOPE,EVI190101,EVI190117,EVI190202,EVI190218,EVI190306,EVI190322,EVI190407,EVI190423,EVI190509,EVI190525,EVI190610,EVI190626,EVI190712,EVI190728,EVI190813,EVI190829,EVI190914,EVI190930,EVI191016,EVI191101,EVI191117,EVI191203,EVI191219,GPP190101,GPP190117,GPP190202,GPP190218,GPP190306,GPP190322,GPP190407,GPP190423,GPP190509,GPP190525,GPP190610,GPP190626,GPP190712,GPP190728,GPP190813,GPP190829,GPP190914,GPP190930,GPP191016,GPP191101,GPP191117,GPP191203,GPP191219,LAI190101,LAI190117,LAI190202,LAI190218,LAI190306,LAI190322,LAI190407,LAI190423,LAI190509,LAI190525,LAI190610,LAI190626,LAI190712,LAI190728,LAI190813,LAI190829,LAI190914,LAI190930,LAI191016,LAI191101,LAI191117,LAI191203,LAI191219,LST190101,LST190117,LST190202,LST190218,LST190306,LST190322,LST190407,LST190423,LST190509,LST190525,LST190610,LST190626,LST190712,LST190728,LST190813,LST190829,LST190914,LST190930,LST191016,LST191101,LST191117,LST191203,LST191219,LST2015,LST2016,LST2017,LST2018,LST2019,NDVI190101,NDVI190117,NDVI190202,NDVI190218,NDVI190306,NDVI190322,NDVI190407,NDVI190423,NDVI190509,NDVI190525,NDVI190610,NDVI190626,NDVI190712,NDVI190728,NDVI190813,NDVI190829,NDVI190914,NDVI190930,NDVI191016,NDVI191101,NDVI191117,NDVI191203,NDVI191219,NPP190101,NPP190117,NPP190202,NPP190218,NPP190306,NPP190322,NPP190407,NPP190423,NPP190509,NPP190525,NPP190610,NPP190626,NPP190712,NPP190728,NPP190813,NPP190829,NPP190914,NPP190930,NPP191016,NPP191101,NPP191117,NPP191203,NPP191219,PAR190101,PAR190117,PAR190202,PAR190218,PAR190306,PAR190322,PAR190407,PAR190423,PAR190509,PAR190525,PAR190610,PAR190626,PAR190712,PAR190728,PAR190813,PAR190829,PAR190914,PAR190930,PAR191016,PAR191101,PAR191117,PAR191203,PAR191219,PR190101,PR190201,PR190301,PR190401,PR190501,PR190601,PR190701,PR190801,PR190901,PR191001,PR191101,PR191201,PR2015,PR2016,PR2017,PR2018,PR2019,SOIL1901,SOIL1902,SOIL1903,SOIL1904,SOIL1905,SOIL1906,SOIL1907,SOIL1908,SOIL1909,SOIL1910,SOIL1911,SOIL1912,SR190602B1,SR190602B2,SR190602B3,SR190602B4,SR190602B5,SR190602B6,SR190602B7,SR190704B1,SR190704B2,SR190704B3,SR190704B4,SR190704B5,SR190704B6,SR190704B7,SR190728B1,SR190728B2,SR190728B3,SR190728B4,SR190728B5,SR190728B6,SR190728B7,SR190829B1,SR190829B2,SR190829B3,SR190829B4,SR190829B5,SR190829B6,SR190829B7,SR190930B1,SR190930B2,SR190930B3,SR190930B4,SR190930B5,SR190930B6,SR190930B7,X,Y
821,∞´…˙·‘≤›≤›µÈ,≤›µÈ,∞´·‘≤›≤›µÈ,7,0,0,0,645,498,1056,836,734,679,226,0,0,952,939,948,809,767,798,956,896,106.4290009,3133,18.9822998,1277,1559,1102,1630,1055,1158,1360,1377,2374,2562,3161,4838,4376,4193,4122,4050,3359,2805,1695,1276,1302,106,1236,0,0,0,0,0,3,25,68,101,105,253,319,333,294,401,322,200,130,38,17,0,0,0,3,2,2,3,3,3,3,3,5,7,17,14,18,15,17,20,10,3,5,3,1,1,2,13798,13738,13834,13757,14157,14311,14764,15205,14525,14837,15073,14709,14593,14602,14841,14752,14140,14667,14286,14078,14129,13489,13713,14598.69565,14665.91304,14648.08696,14580.95556,14514.43478,2076,2800,2081,2243,1942,2157,2191,2575,3888,4792,7215,6719,7239,6889,6447,6174,5066,4825,2900,2745,2148,103,2017,0,0,0,0,0,2,20,61,90,91,221,272,288,254,342,273,172,114,31,11,0,0,0,20,19,18,16,21,15,16,17,23,34,56,51,63,50,58,63,48,19,27,27,9,9,12,0.0037718,0.0052488,0.0054113,0.0389406,0.0908392,0.109014,0.0905876,0.116109,0.10654,0.0348323,0.0064437,0.0008861,34.41666667,56,53,53,38.16666667,358,358,358,132,91,85,67,55,48,48,48,48,1007,2567,526,885,3109,3159,2056,684,3486,415,902,4275,2967,1884,944,4014,471,965,4688,3203,2012,478,2594,220,545,3211,2320,1123,838,2401,467,749,3516,3094,2015,100.9678697,36.95320068
822,∞´…˙·‘≤›≤›µÈ,≤›µÈ,∞´·‘≤›≤›µÈ,7,0,0,0,645,498,1056,836,734,679,226,0,0,952,939,948,809,767,798,956,896,317.1069946,3131,22.0797005,1277,1559,1102,1630,1055,1158,1360,1377,2374,2562,3161,4838,4376,4193,4122,4050,3359,2805,1695,1276,1302,106,1236,0,0,0,0,0,3,25,68,101,105,253,319,333,294,401,322,200,130,38,17,0,0,0,3,2,2,3,3,3,3,3,5,7,17,14,18,15,17,20,10,3,5,3,1,1,2,13798,13738,13834,13757,14157,14311,14764,15205,14525,14837,15073,14709,14593,14602,14841,14752,14140,14667,14286,14078,14129,13489,13713,14598.69565,14665.91304,14648.08696,14580.95556,14514.43478,2076,2800,2081,2243,1942,2157,2191,2575,3888,4792,7215,6719,7239,6889,6447,6174,5066,4825,2900,2745,2148,103,2017,0,0,0,0,0,2,20,61,90,91,221,272,288,254,342,273,172,114,31,11,0,0,0,20,19,18,16,21,15,16,17,23,34,56,51,63,50,58,63,48,19,27,27,9,9,12,0.0037718,0.0052488,0.0054113,0.0389406,0.0908392,0.109014,0.0905876,0.116109,0.10654,0.0348323,0.0064437,0.0008861,34.41666667,56,53,53,38.16666667,358,358,358,132,91,85,67,55,48,48,48,48,1007,2567,526,885,3109,3159,2056,684,3486,415,902,4275,2967,1884,944,4014,471,965,4688,3203,2012,478,2594,220,545,3211,2320,1123,838,2401,467,749,3516,3094,2015,100.9672271,36.95373454
823,∞´…˙·‘≤›≤›µÈ,≤›µÈ,∞´·‘≤›≤›µÈ,7,0,0,0,645,498,1056,836,734,679,226,0,0,960,934,899,887,746,874,860,948,180.0130005,3109,1.54774,1471,1559,1198,1630,1094,1188,1427,1510,2095,2557,3878,4133,4376,3638,4452,3951,3359,2805,1661,1482,1302,39,1364,0,0,0,0,0,3,25,68,101,105,253,319,333,294,401,322,200,130,38,17,0,0,0,3,2,2,3,3,3,3,3,5,7,17,14,18,15,17,20,10,3,5,3,1,1,2,13798,13738,13834,13757,14157,14311,14764,15205,14525,14837,15073,14709,14593,14602,14841,14752,14140,14667,14286,14078,14129,13489,13713,14598.69565,14665.91304,14648.08696,14580.95556,14514.43478,2431,2800,2143,2243,2032,2262,2302,2771,3486,4785,7180,5944,7239,6253,6622,6117,5066,4825,2894,2901,2148,37,2233,0,0,0,0,0,2,20,61,90,91,221,272,288,254,342,273,172,114,31,11,0,0,0,20,19,18,16,21,15,16,17,23,34,56,51,63,50,58,63,48,19,27,27,9,9,12,0.0037718,0.0052488,0.0054113,0.0389406,0.0908392,0.109014,0.0905876,0.116109,0.10654,0.0348323,0.0064437,0.0008861,34.41666667,56,53,53,38.16666667,358,358,358,132,91,85,67,55,48,48,48,48,921,2570,526,885,3109,3159,2056,883,3472,415,902,4275,2967,1884,944,4014,471,965,4688,3203,2012,478,2594,220,545,3211,2320,1123,838,2401,467,749,3516,3094,2015,100.9666184,36.95436279
824,∞´…˙·‘≤›≤›µÈ,≤›µÈ,∞´·‘≤›≤›µÈ,7,0,0,0,645,498,1056,836,734,679,226,0,0,960,934,899,887,746,874,860,948,197.2590027,3106,1.2982,1471,1559,1198,1630,1094,1188,1427,1510,2095,2557,3878,4133,4376,3638,4452,3951,3359,2805,1661,1482,1302,39,1364,0,0,0,0,0,3,25,68,101,105,253,319,333,294,401,322,200,130,38,17,0,0,0,3,2,2,3,3,3,3,3,5,7,17,14,18,15,17,20,10,3,5,3,1,1,2,13798,13738,13834,13757,14157,14311,14764,15205,14525,14837,15073,14709,14593,14602,14841,14752,14140,14667,14286,14078,14129,13489,13713,14598.69565,14665.91304,14648.08696,14580.95556,14514.43478,2431,2800,2143,2243,2032,2262,2302,2771,3486,4785,7180,5944,7239,6253,6622,6117,5066,4825,2894,2901,2148,37,2233,0,0,0,0,0,2,20,61,90,91,221,272,288,254,342,273,172,114,31,11,0,0,0,20,19,18,16,21,15,16,17,23,34,56,51,63,50,58,63,48,19,27,27,9,9,12,0.0037718,0.0052488,0.0054113,0.0389406,0.0908392,0.109014,0.0905876,0.116109,0.10654,0.0348323,0.0064437,0.0008861,34.41666667,56,53,53,38.16666667,358,358,358,132,91,85,67,55,48,48,48,48,921,2570,526,885,3109,3159,2056,883,3472,415,902,4275,2967,1884,944,4014,471,965,4688,3203,2012,478,2594,220,545,3211,2320,1123,838,2401,467,749,3516,3094,2015,100.9658523,36.955051
825,∞´·‘≤›°¢‘Á Ï∫Ã°¢◊œª®’Î√©≤›‘≠ªØ≤›µÈ,≤›‘≠ªØ≤›µÈ,∞´·‘≤›≤›‘≠ªØ≤›µÈ,15,0,0,0,774,493,1001,926,803,678,56,0,0,977,909,904,804,768,769,935,914,298.8880005,3126,7.0138402,672,1013,1109,1125,1153,1035,1222,1550,1949,3157,2623,3503,4723,3609,3742,3810,1914,2444,1686,859,1142,367,891,0,0,0,0,0,4,28,87,75,73,250,201,316,481,411,286,59,89,20,5,0,0,0,1,1,1,2,1,2,2,3,4,7,12,6,18,19,17,13,8,5,2,2,1,1,2,13448,13522,13460,13736,13999,14132,14546,14867,14395,14758,15010,0,14654,14642,14625,14597,14150,14594,14204,13779,13808,13278,13320,14583.95652,14603.02222,14521.30435,14517.44444,14427.08696,1166,1755,1903,1494,1423,2114,2193,2969,3464,4845,5213,5081,6039,7061,6387,6001,4226,3896,2917,1688,2169,363,1504,0,0,0,0,0,3,24,78,70,65,218,181,270,389,353,246,52,79,17,4,0,0,0,9,9,9,13,7,13,11,17,21,31,45,25,56,65,61,45,33,26,12,15,9,5,19,0.0035822,0.0062335,0.005801,0.0363451,0.140135,0.105754,0.0883413,0.100094,0.0802864,0.0337091,0.0084875,0.0007081,35.25,56.91666667,53.91666667,53.75,39.5,340,340,340,125,87,186,108,78,62,62,62,62,1002,2886,375,624,2414,2345,1460,1170,3588,447,881,3686,2971,1603,1146,3702,74,527,3897,2566,1448,782,2322,322,560,2566,1865,1010,1184,2696,578,928,3674,3544,2358,100.8681972,36.95159776
965,≤ÿ·‘≤›’”‘Û≤›µÈ,’”‘ÛªØ≤›µÈ,≤ÿ·‘≤›’”‘ÛªØ≤›µÈ,0,0,0,0,387,475,1033,655,781,556,206,0,0,32767,32767,863,750,704,766,953,32767,340.1080017,3226,7.8527498,1074,1095,811,822,1025,908,1178,1263,1706,2238,1263,4823,4281,3959,3624,1791,2604,2525,1334,1055,1079,83,905,0,0,0,0,0,5,28,77,95,97,174,167,173,482,437,168,99,101,40,8,0,0,0,2,1,1,2,1,2,3,3,4,2,11,2,17,20,14,10,2,7,3,1,2,1,1,13664,13622,13899,14117,13985,14395,14498,15169,14483,14399,14560,14389,0,14670,14856,14447,14328,14469,14110,14039,13933,13628,13680,14424.95556,14426.71739,14396.97826,14406.97778,14329.6,1941,1945,1771,1902,1773,1981,2322,2551,3375,4191,1486,6053,6332,7113,6118,2943,5418,4016,2476,2141,2489,98,2110,0,0,0,0,0,3,23,70,86,85,155,148,153,395,369,147,86,88,33,7,0,0,0,15,9,9,11,7,14,13,14,18,12,42,13,56,67,51,40,10,35,15,9,14,9,9,0.0062526,0.0066856,0.0030932,0.0329376,0.178485,0.085467,0.0853047,0.0886083,0.0705905,0.0272048,0.0090242,0.0006584,29.66666667,44.33333333,43.33333333,42.16666667,34,254,254,254,129,92,198,117,86,68,57,57,57,880,2150,433,795,3298,2616,1737,965,3925,583,1042,4501,2917,1555,728,3819,346,816,4331,2661,1292,1630,2138,1926,1969,2913,2249,1419,1194,2797,546,909,3960,3519,2184,100.1057647,36.61804009
966,≤ÿ·‘≤›’”‘Û≤›µÈ,’”‘ÛªØ≤›µÈ,≤ÿ·‘≤›’”‘ÛªØ≤›µÈ,0,0,0,0,387,475,1033,655,781,556,206,0,0,32767,32767,863,750,704,766,953,32767,337.5350037,3239,9.9500504,1074,1095,811,822,1025,908,1178,1263,1706,2238,1263,4823,4281,3959,3624,1791,2604,2525,1334,1055,1079,83,905,0,0,0,0,0,5,28,77,95,97,174,167,173,482,437,168,99,101,40,8,0,0,0,2,1,1,2,1,2,3,3,4,2,11,2,17,20,14,10,2,7,3,1,2,1,1,13664,13622,13899,14117,13985,14395,14498,15169,14483,14399,14560,14389,0,14670,14856,14447,14328,14469,14110,14039,13933,13628,13680,14424.95556,14426.71739,14396.97826,14406.97778,14329.6,1941,1945,1771,1902,1773,1981,2322,2551,3375,4191,1486,6053,6332,7113,6118,2943,5418,4016,2476,2141,2489,98,2110,0,0,0,0,0,3,23,70,86,85,155,148,153,395,369,147,86,88,33,7,0,0,0,15,9,9,11,7,14,13,14,18,12,42,13,56,67,51,40,10,35,15,9,14,9,9,0.0062526,0.0066856,0.0030932,0.0329376,0.178485,0.085467,0.0853047,0.0886083,0.0705905,0.0272048,0.0090242,0.0006584,29.66666667,44.33333333,43.33333333,42.16666667,34,254,254,254,129,92,198,117,86,68,57,57,57,880,2150,433,795,3298,2616,1737,965,3925,583,1042,4501,2917,1555,728,3819,346,816,4331,2661,1292,1630,2138,1926,1969,2913,2249,1419,1194,2797,546,909,3960,3519,2184,100.106038,36.617518
967,≤ÿ·‘≤›’”‘Û≤›µÈ,’”‘ÛªØ≤›µÈ,≤ÿ·‘≤›’”‘ÛªØ≤›µÈ,0,0,0,0,387,475,1033,655,781,556,206,0,0,32767,32767,863,750,704,766,953,32767,197.2489929,3244,1.2984,463,454,552,613,966,832,1009,1343,1823,2185,990,2823,3974,3248,3586,2694,2086,2521,1133,795,767,860,597,0,0,0,0,0,3,28,63,87,69,259,154,185,469,379,213,108,94,23,4,0,0,0,2,1,1,1,1,2,3,3,6,2,9,17,16,11,16,10,5,5,3,2,1,1,1,13664,13622,13899,14117,13985,14395,14498,15169,14483,14399,14560,14389,0,14670,14856,14447,14328,14469,14110,14039,13933,13628,13680,14424.95556,14426.71739,14396.97826,14406.97778,14329.6,1571,1096,1417,1429,1428,2035,2280,3095,3096,4165,991,4096,6094,6893,6347,6255,5855,4178,2862,2255,2304,1316,2060,0,0,0,0,0,3,23,57,80,59,229,138,166,384,320,184,91,84,20,4,0,0,0,16,9,9,7,7,12,14,13,23,10,35,60,49,47,59,39,25,26,20,14,9,9,9,0.0062526,0.0066856,0.0030932,0.0329376,0.178485,0.085467,0.0853047,0.0886083,0.0705905,0.0272048,0.0090242,0.0006584,29.66666667,44.33333333,43.33333333,42.16666667,34,254,254,254,129,92,198,117,86,68,57,57,57,823,1998,466,779,2519,2492,1518,1333,3183,1618,1841,4022,3153,1873,727,3598,331,809,4132,2546,1286,408,1771,210,488,2559,1866,773,1047,2550,524,889,3600,3172,1927,100.106332,36.617095
968,≤ÿ·‘≤›’”‘Û≤›µÈ,’”‘ÛªØ≤›µÈ,≤ÿ·‘≤›’”‘ÛªØ≤›µÈ,0,0,0,0,387,475,1033,655,781,556,206,0,0,32767,32767,863,750,704,766,953,32767,32.9091988,3237,8.4199495,463,454,552,613,966,832,1009,1343,1823,2185,990,2823,3974,3248,3586,2694,2086,2521,1133,795,767,860,597,0,0,0,0,0,3,28,63,87,69,259,154,185,469,379,213,108,94,23,4,0,0,0,2,1,1,1,1,2,3,3,6,2,9,17,16,11,16,10,5,5,3,2,1,1,1,13664,13622,13899,14117,13985,14395,14498,15169,14483,14399,14560,14389,0,14670,14856,14447,14328,14469,14110,14039,13933,13628,13680,14424.95556,14426.71739,14396.97826,14406.97778,14329.6,1571,1096,1417,1429,1428,2035,2280,3095,3096,4165,991,4096,6094,6893,6347,6255,5855,4178,2862,2255,2304,1316,2060,0,0,0,0,0,3,23,57,80,59,229,138,166,384,320,184,91,84,20,4,0,0,0,16,9,9,7,7,12,14,13,23,10,35,60,49,47,59,39,25,26,20,14,9,9,9,0.0062526,0.0066856,0.0030932,0.0329376,0.178485,0.085467,0.0853047,0.0886083,0.0705905,0.0272048,0.0090242,0.0006584,29.66666667,44.33333333,43.33333333,42.16666667,34,254,254,254,129,92,198,117,86,68,57,57,57,823,1998,466,779,2519,2492,1518,1333,3183,1618,1841,4022,3153,1873,727,3598,331,809,4132,2546,1286,408,1771,210,488,2559,1866,773,1047,2550,524,889,3600,3172,1927,100.107009,36.617414
969,≤ÿ·‘≤›’”‘Û≤›µÈ,’”‘ÛªØ≤›µÈ,≤ÿ·‘≤›’”‘ÛªØ≤›µÈ,0,0,0,0,387,475,1033,655,781,556,206,0,0,32767,32767,863,750,704,766,953,32767,12.0704002,3231,9.1043501,1074,1095,811,822,1025,908,1178,1263,1706,2238,1263,4823,4281,3959,3624,1791,2604,2525,1334,1055,1079,83,905,0,0,0,0,0,5,28,77,95,97,174,167,173,482,437,168,99,101,40,8,0,0,0,2,1,1,2,1,2,3,3,4,2,11,2,17,20,14,10,2,7,3,1,2,1,1,13664,13622,13899,14117,13985,14395,14498,15169,14483,14399,14560,14389,0,14670,14856,14447,14328,14469,14110,14039,13933,13628,13680,14424.95556,14426.71739,14396.97826,14406.97778,14329.6,1941,1945,1771,1902,1773,1981,2322,2551,3375,4191,1486,6053,6332,7113,6118,2943,5418,4016,2476,2141,2489,98,2110,0,0,0,0,0,3,23,70,86,85,155,148,153,395,369,147,86,88,33,7,0,0,0,15,9,9,11,7,14,13,14,18,12,42,13,56,67,51,40,10,35,15,9,14,9,9,0.0062526,0.0066856,0.0030932,0.0329376,0.178485,0.085467,0.0853047,0.0886083,0.0705905,0.0272048,0.0090242,0.0006584,29.66666667,44.33333333,43.33333333,42.16666667,34,254,254,254,129,92,198,117,86,68,57,57,57,880,2150,433,795,3298,2616,1737,965,3925,583,1042,4501,2917,1555,728,3819,346,816,4331,2661,1292,1630,2138,1926,1969,2913,2249,1419,1194,2797,546,909,3960,3519,2184,100.106675,36.617823
1051,œﬂ“∂·‘≤›≤›µÈ,≤›µÈ,œﬂ“∂·‘≤›≤›µÈ,9,0,0,0,230,647,700,929,780,660,0,0,0,727,780,760,770,778,669,760,922,330.901001,3680,13.8929005,714,112,1206,1259,1233,1102,1329,1472,1988,2219,3267,4962,4217,3974,3468,3605,3171,2395,1976,1314,1365,1485,1082,0,0,0,0,0,11,31,84,99,27,220,295,287,342,303,314,84,111,61,14,1,0,0,1,1,1,2,2,2,2,3,5,6,11,3,16,3,12,11,11,5,5,2,1,2,2,13733,13724,13805,14147,14371,14572,14893,15574,15264,14761,15172,14876,14447,14895,15047,14861,14296,14824,14500,14278,14029,13878,13757,14285.45652,14214.2093,14197.51163,14149.22727,14147.57143,883,112,2006,1627,1862,1913,2084,2351,2749,3488,5108,6277,6336,6505,5766,6071,5522,4016,3940,2563,2383,2008,1896,0,0,0,0,0,10,27,75,86,24,194,256,246,293,253,264,73,97,51,12,1,0,0,9,9,9,13,15,11,12,16,24,30,41,15,56,15,45,47,42,31,27,16,9,13,13,0.0036791,0.0076003,0.0044927,0.0338592,0.111861,0.133518,0.116258,0.130541,0.152492,0.0339653,0.0073579,0.0010227,39.33333333,71.83333333,66.25,61.08333333,43.33333333,630,630,630,630,630,630,630,463,630,630,630,630,1283,2658,638,1076,3114,3303,2359,1314,3134,1229,1458,3207,2429,1291,817,4077,472,957,4182,2993,1874,660,2700,300,653,3302,2247,1139,1280,3369,641,1043,3674,3393,2455,101.4477675,36.3654579
1052,‹∏‹∏≤›≤›‘≠,≤›‘≠,‹∏‹∏≤›≤›‘≠,21,0,0,0,183,428,813,553,460,362,102,0,0,842,828,925,838,817,790,765,747,258.5660095,3153,9.2922602,863,871,1076,1169,161,1131,1195,1360,1666,2612,1635,4227,4185,4042,3567,2759,2248,71,1101,1216,1205,47,1165,0,0,0,0,0,0,7,47,36,65,174,39,253,278,317,191,88,56,5,0,0,0,0,1,1,1,1,2,2,2,3,4,7,6,8,8,14,13,9,7,5,2,1,2,1,1,13493,13714,13572,13723,13833,14204,14218,14906,14433,15139,14616,0,14483,14970,15094,14989,14841,14630,14119,13875,13910,13523,13514,14762.47826,14787.19565,14768.82222,14683.8913,14717.76087,1196,1266,1853,1898,156,1969,2017,2164,2984,4031,2174,5935,5826,5993,5256,4706,3991,71,2233,1991,2330,50,2083,0,0,0,0,0,0,5,40,32,55,151,34,218,239,269,171,76,52,2,0,0,0,0,9,9,9,7,12,13,12,14,20,36,31,35,36,54,50,38,39,27,14,9,17,9,9,0.0061965,0.0056106,0.0034134,0.0323975,0.0847017,0.0893881,0.0835392,0.0553523,0.0495465,0.0200406,0.0085852,0.0017075,24.91666667,36.5,34.83333333,32.75,25.33333333,8,8,8,8,8,8,7,7,7,7,7,7,1177,2767,649,1077,3891,3163,2261,912,3576,440,929,3961,3249,1694,821,3277,482,909,3842,3206,1811,889,2470,588,1024,4212,3834,2468,1497,2527,488,851,3100,3160,2263,99.47869358,36.366317
1053,‹∏‹∏≤›≤›‘≠,≤›‘≠,‹∏‹∏≤›≤›‘≠,21,0,0,0,183,428,813,553,460,362,102,0,0,842,828,925,838,817,790,765,747,255.5650024,3157,8.6316099,863,871,1076,1169,161,1131,1195,1360,1666,2612,1635,4227,4185,4042,3567,2759,2248,71,1101,1216,1205,47,1165,0,0,0,0,0,0,7,47,36,65,174,39,253,278,317,191,88,56,5,0,0,0,0,1,1,1,1,2,2,2,3,4,7,6,8,8,14,13,9,7,5,2,1,2,1,1,13493,13714,13572,13723,13833,14204,14218,14906,14433,15139,14616,0,14483,14970,15094,14989,14841,14630,14119,13875,13910,13523,13514,14762.47826,14787.19565,14768.82222,14683.8913,14717.76087,1196,1266,1853,1898,156,1969,2017,2164,2984,4031,2174,5935,5826,5993,5256,4706,3991,71,2233,1991,2330,50,2083,0,0,0,0,0,0,5,40,32,55,151,34,218,239,269,171,76,52,2,0,0,0,0,9,9,9,7,12,13,12,14,20,36,31,35,36,54,50,38,39,27,14,9,17,9,9,0.0061965,0.0056106,0.0034134,0.0323975,0.0847017,0.0893881,0.0835392,0.0553523,0.0495465,0.0200406,0.0085852,0.0017075,24.91666667,36.5,34.83333333,32.75,25.33333333,8,8,8,8,8,8,7,7,7,7,7,7,1177,2767,649,1077,3891,3163,2261,912,3576,440,929,3961,3249,1694,821,3277,482,909,3842,3206,1811,889,2470,588,1024,4212,3834,2468,1497,2527,488,851,3100,3160,2263,99.47895,36.366051
1054,‹∏‹∏≤›≤›‘≠,≤›‘≠,‹∏‹∏≤›≤›‘≠,21,0,0,0,183,428,813,553,460,362,102,0,0,857,828,925,838,817,790,765,747,190.371994,3150,8.4382801,863,871,1076,1169,161,1131,1195,1360,1666,2612,1635,4227,4185,4042,3567,2759,2248,71,1101,1216,1205,47,1165,0,0,0,0,0,0,7,47,36,65,174,39,253,278,317,191,88,56,5,0,0,0,0,1,1,1,1,2,2,2,3,4,7,6,8,8,14,13,9,7,5,2,1,2,1,1,13493,13714,13572,13723,13833,14204,14218,14906,14433,15139,14616,0,14483,14970,15094,14989,14841,14630,14119,13875,13910,13523,13514,14762.47826,14787.19565,14768.82222,14683.8913,14717.76087,1196,1266,1853,1898,156,1969,2017,2164,2984,4031,2174,5935,5826,5993,5256,4706,3991,71,2233,1991,2330,50,2083,0,0,0,0,0,0,5,40,32,55,151,34,218,239,269,171,76,52,2,0,0,0,0,9,9,9,7,12,13,12,14,20,36,31,35,36,54,50,38,39,27,14,9,17,9,9,0.0061965,0.0056106,0.0034134,0.0323975,0.0847017,0.0893881,0.0835392,0.0553523,0.0495465,0.0200406,0.0085852,0.0017075,24.91666667,36.5,34.83333333,32.75,25.33333333,8,8,8,8,8,8,7,7,7,7,7,7,1177,2767,649,1077,3891,3163,2261,912,3576,440,929,3961,3249,1694,821,3277,482,909,3842,3206,1811,889,2470,588,1024,4212,3834,2468,1497,2527,488,851,3100,3160,2263,99.479219,36.36567
1055,‹∏‹∏≤›≤›‘≠,≤›‘≠,‹∏‹∏≤›≤›‘≠,21,0,0,0,183,428,813,553,460,362,102,0,0,857,828,925,838,817,790,765,747,205.8170013,3151,7.86307,863,871,1076,1169,161,1131,1195,1360,1666,2612,1635,4227,4185,4042,3567,2759,2248,71,1101,1216,1205,47,1165,0,0,0,0,0,0,7,47,36,65,174,39,253,278,317,191,88,56,5,0,0,0,0,1,1,1,1,2,2,2,3,4,7,6,8,8,14,13,9,7,5,2,1,2,1,1,13493,13714,13572,13723,13833,14204,14218,14906,14433,15139,14616,0,14483,14970,15094,14989,14841,14630,14119,13875,13910,13523,13514,14776.76087,14786.91304,14769.37778,14692.28261,14733.06522,1196,1266,1853,1898,156,1969,2017,2164,2984,4031,2174,5935,5826,5993,5256,4706,3991,71,2233,1991,2330,50,2083,0,0,0,0,0,0,5,40,32,55,151,34,218,239,269,171,76,52,2,0,0,0,0,9,9,9,7,12,13,12,14,20,36,31,35,36,54,50,38,39,27,14,9,17,9,9,0.0061965,0.0056106,0.0034134,0.0323975,0.0847017,0.0893881,0.0835392,0.0553523,0.0495465,0.0200406,0.0085852,0.0017075,24.91666667,36.5,34.83333333,32.75,25.33333333,8,8,8,8,8,8,7,7,7,7,7,7,1177,2767,649,1077,3891,3163,2261,912,3576,440,929,3961,3249,1694,821,3277,482,909,3842,3206,1811,889,2470,588,1024,4212,3834,2468,1497,2527,488,851,3100,3160,2263,99.479447,36.365464
1056,‹∏‹∏≤›≤›‘≠,≤›‘≠,‹∏‹∏≤›≤›‘≠,21,0,0,0,183,428,813,553,460,362,102,0,0,842,828,925,838,817,790,765,747,317.1329956,3146,1.6880701,863,871,1076,1169,161,1131,1195,1360,1666,2612,1635,4227,4185,4042,3567,2759,2248,71,1101,1216,1205,47,1165,0,0,0,0,0,0,7,47,36,65,174,39,253,278,317,191,88,56,5,0,0,0,0,1,1,1,1,2,2,2,3,4,7,6,8,8,14,13,9,7,5,2,1,2,1,1,13493,13714,13572,13723,13833,14204,14218,14906,14433,15139,14616,0,14483,14970,15094,14989,14841,14630,14119,13875,13910,13523,13514,14762.47826,14787.19565,14768.82222,14683.8913,14717.76087,1196,1266,1853,1898,156,1969,2017,2164,2984,4031,2174,5935,5826,5993,5256,4706,3991,71,2233,1991,2330,50,2083,0,0,0,0,0,0,5,40,32,55,151,34,218,239,269,171,76,52,2,0,0,0,0,9,9,9,7,12,13,12,14,20,36,31,35,36,54,50,38,39,27,14,9,17,9,9,0.0061965,0.0056106,0.0034134,0.0323975,0.0847017,0.0893881,0.0835392,0.0553523,0.0495465,0.0200406,0.0085852,0.0017075,24.91666667,36.5,34.83333333,32.75,25.33333333,8,8,8,8,8,8,7,7,7,7,7,7,1177,2767,649,1077,3891,3163,2261,912,3576,440,929,3961,3249,1694,821,3277,482,909,3842,3206,1811,889,2470,588,1024,4212,3834,2468,1497,2527,488,851,3100,3160,2263,99.479166,36.365296
