Vegatation,AET1901,AET1902,AET1903,AET1904,AET1905,AET1906,AET1907,AET1908,AET1909,AET1910,AET1911,AET1912,Full_Exten,Full_Ext_1,Full_Ext_2,Full_Ext_3,Full_Ext_4,Full_Ext_5,Full_Ext_6,Full_Ext_7,QTP_ASPECT,QTP_DEM,QTP_SLOPE,EVI190101,EVI190117,EVI190202,EVI190218,EVI190306,EVI190322,EVI190407,EVI190423,EVI190509,EVI190525,EVI190610,EVI190626,EVI190712,EVI190728,EVI190813,EVI190829,EVI190914,EVI190930,EVI191016,EVI191101,EVI191117,EVI191203,EVI191219,GPP190101,GPP190117,GPP190202,GPP190218,GPP190306,GPP190322,GPP190407,GPP190423,GPP190509,GPP190525,GPP190610,GPP190626,GPP190712,GPP190728,GPP190813,GPP190829,GPP190914,GPP190930,GPP191016,GPP191101,GPP191117,GPP191203,GPP191219,LAI190101,LAI190117,LAI190202,LAI190218,LAI190306,LAI190322,LAI190407,LAI190423,LAI190509,LAI190525,LAI190610,LAI190626,LAI190712,LAI190728,LAI190813,LAI190829,LAI190914,LAI190930,LAI191016,LAI191101,LAI191117,LAI191203,LAI191219,LST190101,LST190117,LST190202,LST190218,LST190306,LST190322,LST190407,LST190423,LST190509,LST190525,LST190610,LST190626,LST190712,LST190728,LST190813,LST190829,LST190914,LST190930,LST191016,LST191101,LST191117,LST191203,LST191219,LST2015,LST2016,LST2017,LST2018,LST2019,NDVI190101,NDVI190117,NDVI190202,NDVI190218,NDVI190306,NDVI190322,NDVI190407,NDVI190423,NDVI190509,NDVI190525,NDVI190610,NDVI190626,NDVI190712,NDVI190728,NDVI190813,NDVI190829,NDVI190914,NDVI190930,NDVI191016,NDVI191101,NDVI191117,NDVI191203,NDVI191219,NPP190101,NPP190117,NPP190202,NPP190218,NPP190306,NPP190322,NPP190407,NPP190423,NPP190509,NPP190525,NPP190610,NPP190626,NPP190712,NPP190728,NPP190813,NPP190829,NPP190914,NPP190930,NPP191016,NPP191101,NPP191117,NPP191203,NPP191219,PAR190101,PAR190117,PAR190202,PAR190218,PAR190306,PAR190322,PAR190407,PAR190423,PAR190509,PAR190525,PAR190610,PAR190626,PAR190712,PAR190728,PAR190813,PAR190829,PAR190914,PAR190930,PAR191016,PAR191101,PAR191117,PAR191203,PAR191219,PR190101,PR190201,PR190301,PR190401,PR190501,PR190601,PR190701,PR190801,PR190901,PR191001,PR191101,PR191201,PR2015,PR2016,PR2017,PR2018,PR2019,SOIL1901,SOIL1902,SOIL1903,SOIL1904,SOIL1905,SOIL1906,SOIL1907,SOIL1908,SOIL1909,SOIL1910,SOIL1911,SOIL1912,SR190602B1,SR190602B2,SR190602B3,SR190602B4,SR190602B5,SR190602B6,SR190602B7,SR190704B1,SR190704B2,SR190704B3,SR190704B4,SR190704B5,SR190704B6,SR190704B7,SR190728B1,SR190728B2,SR190728B3,SR190728B4,SR190728B5,SR190728B6,SR190728B7,SR190829B1,SR190829B2,SR190829B3,SR190829B4,SR190829B5,SR190829B6,SR190829B7,SR190930B1,SR190930B2,SR190930B3,SR190930B4,SR190930B5,SR190930B6,SR190930B7
‹∏‹∏≤›≤›µÈ,0,0,0,650,486,1038,845,688,674,270,0,0,770,801,840,803,795,773,775,786,196.8809967,2966,13.0369997,769,367,973,1641,516,1088,1260,1346,1852,3118,1054,5963,5956,5602,5018,3816,3332,2406,1561,1417,1357,1927,1447,0,0,0,0,0,2,22,57,95,50,360,193,489,486,490,367,178,102,25,12,0,0,0,1,1,1,2,1,2,5,3,3,12,11,14,2,30,23,19,10,7,3,1,1,1,1,13489,13589,13664,13869,13997,14201,14596,15046,14510,14763,14976,14108,14705,14737,14760,14692,14487,14646,14210,13946,13959,13610,13494,14480.65217,14522.32609,14472.02174,14449.30435,14415.08696,1056,513,1685,2455,936,2134,2244,2546,3442,5421,1357,8048,7613,7499,7485,6369,5593,4750,3338,2954,3008,2796,2420,0,0,0,0,0,2,18,50,85,45,304,168,383,378,389,294,151,89,18,10,0,0,0,9,9,9,10,7,9,23,15,18,48,45,52,12,79,68,63,47,35,26,9,9,9,9,0.0037718,0.0052488,0.0054113,0.0389406,0.0908392,0.109014,0.0905876,0.116109,0.10654,0.0348323,0.0064437,0.0008861,34.66666667,57.66666667,54.25,53.75,37.58333333,366,366,366,135,93,128,90,70,58,50,50,50,730,2459,311,583,2878,2051,1251,444,4106,256,658,3518,2295,944,529,4377,277,725,3685,2341,927,525,3147,219,545,3390,2196,889,715,2009,246,405,2284,1804,961
‹∏‹∏≤›≤›µÈ,0,0,0,650,486,1038,845,688,674,270,0,0,770,801,840,803,795,773,775,786,190.576004,2958,12.4034004,769,367,973,1641,516,1088,1260,1346,1852,3118,1054,5963,5956,5602,5018,3816,3332,2406,1561,1417,1357,1927,1447,0,0,0,0,0,2,22,57,95,50,360,193,489,486,490,367,178,102,25,12,0,0,0,1,1,1,2,1,2,5,3,3,12,11,14,2,30,23,19,10,7,3,1,1,1,1,13489,13589,13664,13869,13997,14201,14596,15046,14510,14763,14976,14108,14705,14737,14760,14692,14487,14646,14210,13946,13959,13610,13494,14463.51111,14513.28261,14462.52174,14440.63043,14395.56522,1056,513,1685,2455,936,2134,2244,2546,3442,5421,1357,8048,7613,7499,7485,6369,5593,4750,3338,2954,3008,2796,2420,0,0,0,0,0,2,18,50,85,45,304,168,383,378,389,294,151,89,18,10,0,0,0,9,9,9,10,7,9,23,15,18,48,45,52,12,79,68,63,47,35,26,9,9,9,9,0.0037718,0.0052488,0.0054113,0.0389406,0.0908392,0.109014,0.0905876,0.116109,0.10654,0.0348323,0.0064437,0.0008861,34.5,57.41666667,54.08333333,53.66666667,37.66666667,366,366,366,135,93,128,90,70,58,50,50,50,730,2459,311,583,2878,2051,1251,444,4106,256,658,3518,2295,944,529,4377,277,725,3685,2341,927,525,3147,219,545,3390,2196,889,715,2009,246,405,2284,1804,961
‹∏‹∏≤›≤›µÈ,0,0,0,744,474,1019,970,788,637,131,0,0,769,816,816,784,779,711,718,755,231.2030029,3306,8.8254404,995,1066,1300,1159,928,1157,1270,1035,1742,1759,1103,1592,2164,2528,3131,2627,2155,1193,1185,1036,906,152,542,0,0,0,0,0,5,21,48,57,79,91,77,167,178,173,169,47,40,20,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,4,5,3,2,2,2,3,1,1,0,1,13605,13680,13810,13964,14354,14682,14717,15379,15017,15121,15642,0,14878,15151,15330,15101,14405,14808,14370,13733,13983,13384,13565,14638.46667,14617.69565,14606.95652,14623.71111,14574.97727,1248,1384,1732,1618,1305,1524,1643,1412,2416,2365,1656,2201,3994,3635,3984,3446,3144,1699,1908,1564,1347,150,684,0,0,0,0,0,4,18,43,52,71,81,69,150,158,154,149,44,35,19,0,0,0,0,9,9,9,7,12,12,13,13,12,13,11,15,19,21,14,12,14,14,16,4,9,2,5,0.0035822,0.0062335,0.005801,0.0363451,0.140135,0.105754,0.0883413,0.100094,0.0802864,0.0337091,0.0084875,0.0007081,34.91666667,57,54,53.66666667,39.41666667,329,329,329,121,84,221,113,80,63,63,63,63,1788,2896,1051,1661,3414,4125,3551,1934,3026,998,1574,3408,3881,3414,1313,2813,781,1281,3338,3511,2772,1681,3196,792,1380,3886,3636,3069,1566,2624,1000,1621,3456,3527,2977
‹∏‹∏≤›≤›µÈ,0,0,0,744,474,1019,970,788,637,131,0,0,769,816,816,784,779,711,718,755,319.7579956,3301,10.0360003,849,881,735,707,704,804,782,695,793,1096,812,804,857,1150,1226,1936,861,952,990,901,741,132,542,0,0,0,0,0,5,21,48,57,79,91,77,167,178,173,169,47,40,20,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,4,5,3,2,2,2,3,1,1,0,1,13605,13680,13810,13964,14354,14682,14717,15379,15017,15121,15642,0,14878,15151,15330,15101,14405,14808,14370,13733,13983,13384,13565,14638.46667,14617.69565,14606.95652,14623.71111,14574.97727,1079,1161,1011,1007,1002,1085,1049,971,1163,1477,1182,1173,1501,2049,1756,2656,1314,1371,1372,1346,1107,128,685,0,0,0,0,0,4,18,43,52,71,81,69,150,158,154,149,44,35,19,0,0,0,0,9,9,9,7,12,12,13,13,12,13,11,15,19,21,14,12,14,14,16,4,9,2,5,0.0035822,0.0062335,0.005801,0.0363451,0.140135,0.105754,0.0883413,0.100094,0.0802864,0.0337091,0.0084875,0.0007081,34.91666667,57,54,53.66666667,39.41666667,329,329,329,121,84,221,113,80,63,63,63,63,2394,3097,1051,1661,3414,4125,3551,2519,3189,998,1574,3408,3881,3414,2219,3080,781,1281,3338,3511,2772,2484,3276,792,1380,3886,3636,3069,2231,3015,1000,1621,3456,3527,2977
‹∏‹∏≤›≤›µÈ,0,0,0,744,474,1019,970,788,637,131,0,0,726,748,825,788,818,721,727,768,187.6560059,3304,11.4062996,849,881,735,707,704,804,782,695,793,1096,812,804,857,1150,1226,1936,861,952,990,901,741,132,542,0,0,0,0,0,5,21,48,57,79,91,77,167,178,173,169,47,40,20,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,4,5,3,2,2,2,3,1,1,0,1,13605,13680,13810,13964,14354,14682,14717,15379,15017,15121,15642,0,14878,15151,15330,15101,14405,14808,14370,13733,13983,13384,13565,14638.46667,14617.69565,14606.95652,14623.71111,14574.97727,1079,1161,1011,1007,1002,1085,1049,971,1163,1477,1182,1173,1501,2049,1756,2656,1314,1371,1372,1346,1107,128,685,0,0,0,0,0,4,18,43,52,71,81,69,150,158,154,149,44,35,19,0,0,0,0,9,9,9,7,12,12,13,13,12,13,11,15,19,21,14,12,14,14,16,4,9,2,5,0.0035822,0.0062335,0.005801,0.0363451,0.140135,0.105754,0.0883413,0.100094,0.0802864,0.0337091,0.0084875,0.0007081,34.91666667,57,54,53.66666667,39.41666667,329,329,329,121,84,221,113,80,63,63,63,63,2394,3097,1051,1661,3414,4125,3551,2519,3189,998,1574,3408,3881,3414,2219,3080,781,1281,3338,3511,2772,2484,3276,792,1380,3886,3636,3069,2231,3015,1000,1621,3456,3527,2977
‹∏‹∏≤›≤›µÈ,0,0,0,744,474,1019,970,788,637,131,0,0,726,748,825,788,818,721,727,768,178.1679993,3321,11.9071999,1064,735,968,897,837,944,1027,872,1375,1696,1136,2654,2156,2405,2118,1551,1730,2106,1017,901,1001,-119,794,0,0,0,0,0,5,21,48,57,79,91,77,167,178,173,169,47,40,20,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,4,5,3,2,2,2,3,1,1,0,1,13605,13680,13810,13964,14354,14682,14717,15379,15017,15121,15642,0,14878,15151,15330,15101,14405,14808,14370,13733,13983,13384,13565,14638.46667,14617.69565,14606.95652,14623.71111,14574.97727,1450,1161,1491,1412,1184,1398,1439,1204,1949,2406,1733,3452,3581,4025,3468,2656,2744,2979,1638,1346,1518,-111,1059,0,0,0,0,0,4,18,43,52,71,81,69,150,158,154,149,44,35,19,0,0,0,0,9,9,9,7,12,12,13,13,12,13,11,15,19,21,14,12,14,14,16,4,9,2,5,0.0035822,0.0062335,0.005801,0.0363451,0.140135,0.105754,0.0883413,0.100094,0.0802864,0.0337091,0.0084875,0.0007081,34.91666667,57,54,53.66666667,39.41666667,329,329,329,121,84,221,113,80,63,63,63,63,1991,2978,1051,1661,3414,4125,3551,1837,3774,998,1574,3408,3881,3414,1510,2944,781,1281,3338,3511,2772,1755,3120,792,1380,3886,3636,3069,1779,3289,1000,1621,3456,3527,2977
‹∏‹∏≤›≤›µÈ,0,0,0,744,474,1019,970,788,637,131,0,0,726,748,825,788,818,721,727,768,125.8899994,3328,4.7428799,765,807,733,663,639,689,966,665,747,849,1668,1089,726,1028,933,1658,918,1494,936,931,707,107,622,0,0,0,0,0,3,12,25,47,23,70,77,39,73,76,59,37,26,11,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,0,1,13704,13640,13755,13918,14360,14636,14755,15315,14970,14962,15644,0,14897,15367,15371,15147,14401,14811,14385,13780,13895,13192,13532,14638.46667,14617.69565,14606.95652,14623.71111,14574.97727,1025,1078,1038,942,926,1015,1234,940,1044,1268,2237,1538,1256,1825,1369,2314,1347,1849,1320,1356,1037,105,852,0,0,0,0,0,3,11,24,44,23,62,69,37,66,70,52,31,24,10,0,0,0,0,9,9,9,7,7,7,6,6,10,10,8,6,12,13,13,15,7,7,9,4,9,2,9,0.0035822,0.0062335,0.005801,0.0363451,0.140135,0.105754,0.0883413,0.100094,0.0802864,0.0337091,0.0084875,0.0007081,34.91666667,57,54,53.66666667,39.41666667,329,329,329,121,84,221,113,80,63,63,63,63,2445,3058,1260,1977,3932,3951,4320,2235,3048,1273,2037,3958,4125,4549,2366,3108,1188,1946,3968,4040,4352,1710,2740,996,1668,3422,3727,3707,2398,3486,1278,2017,3747,4077,3765
‹∏‹∏≤›≤›µÈ,0,0,0,335,429,983,547,532,507,130,0,0,884,914,838,902,861,787,861,840,79.870697,3400,3.5121701,670,632,608,573,655,611,639,613,718,762,661,903,973,982,1018,1014,836,802,686,690,614,641,551,0,0,0,0,0,0,10,24,34,35,59,65,64,89,85,68,28,22,7,3,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,2,3,2,2,2,1,1,1,1,1,1,13813,13744,13801,14193,14344,14320,14602,15731,15112,15295,14966,14728,15078,15234,15217,15116,14761,14957,14472,14033,14013,13928,13680,14489.62222,14482.73913,14464.8,14360.46667,14417.13636,960,921,856,785,903,837,864,820,995,1037,1436,1328,1350,1253,1490,1473,1040,1156,974,928,839,903,785,0,0,0,0,0,0,9,21,30,30,54,59,57,78,78,60,25,21,5,3,0,0,0,9,9,9,7,7,7,7,6,6,9,13,6,11,13,12,15,12,7,9,9,9,9,9,0.004204,0.0069851,0.0022428,0.0299921,0.074563,0.0751571,0.0828243,0.0535178,0.0443169,0.0219875,0.0083808,0.0010978,27.25,40.25,38,35.91666667,29.25,50,50,50,43,38,35,31,29,26,26,26,26,2595,3291,1380,2094,3386,4030,3168,2308,3015,973,1434,2802,2736,2390,2363,3040,1332,2021,3760,3684,3481,2025,2725,1017,1557,3066,3177,2704,2007,2532,1095,1672,3067,3370,3116
‹∏‹∏≤›≤›µÈ,0,0,0,335,429,983,547,532,507,130,0,0,884,914,838,902,861,787,861,840,179.9880066,3398,3.4026799,696,628,598,584,672,611,627,662,734,839,661,980,914,985,1038,1068,789,740,686,659,704,615,625,0,0,0,0,0,0,10,24,31,21,59,65,64,89,85,68,22,22,7,3,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,13813,13747,13810,14192,14258,14403,14621,15422,15046,15315,15014,14804,15177,15318,15461,15172,14939,14940,14522,14090,14032,13941,13687,14472.33333,14457.08696,14452.42222,14352.11111,14392.25,975,906,856,798,910,837,837,875,1001,1085,1436,1328,1350,1300,1490,1553,1009,1146,974,867,966,860,851,0,0,0,0,0,0,9,21,26,21,54,59,57,78,78,60,20,21,5,3,0,0,0,9,9,9,7,7,7,7,6,6,10,11,6,12,10,10,15,7,7,9,9,9,9,9,0.004204,0.0069851,0.0022428,0.0299921,0.074563,0.0751571,0.0828243,0.0535178,0.0443169,0.0219875,0.0083808,0.0010978,27.25,40.25,38,35.91666667,29.25,50,50,50,43,38,35,31,29,26,26,26,26,2437,3026,1291,1972,3671,3470,3340,2308,3015,1178,1867,3275,3702,3183,2405,3124,1243,1938,3351,3840,3320,1984,2714,1004,1548,3012,3123,2664,1792,2256,978,1482,2723,2972,2726
‹∏‹∏≤›≤›µÈ,0,0,0,335,429,983,547,532,507,130,0,0,884,914,838,902,861,787,861,840,84.8928986,3401,6.9166298,696,628,598,584,672,611,627,662,734,839,661,980,914,985,1038,1068,789,740,686,659,704,615,625,0,0,0,0,0,0,10,24,31,21,59,65,64,89,85,68,22,22,7,3,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,13813,13747,13810,14192,14258,14403,14621,15422,15046,15315,15014,14804,15177,15318,15461,15172,14939,14940,14522,14090,14032,13941,13687,14489.62222,14482.73913,14464.8,14360.46667,14417.13636,975,906,856,798,910,837,837,875,1001,1085,1436,1328,1350,1300,1490,1553,1009,1146,974,867,966,860,851,0,0,0,0,0,0,9,21,26,21,54,59,57,78,78,60,20,21,5,3,0,0,0,9,9,9,7,7,7,7,6,6,10,11,6,12,10,10,15,7,7,9,9,9,9,9,0.004204,0.0069851,0.0022428,0.0299921,0.074563,0.0751571,0.0828243,0.0535178,0.0443169,0.0219875,0.0083808,0.0010978,27.25,40.25,38,35.91666667,29.25,50,50,50,43,38,35,31,29,26,26,26,26,2437,3026,1291,1972,3671,3470,3340,2308,3015,1178,1867,3275,3702,3183,2405,3124,1243,1938,3351,3840,3320,1984,2714,1004,1548,3012,3123,2664,1792,2256,978,1482,2723,2972,2726
‹∏‹∏≤›≤›µÈ,0,0,214,276,504,1012,1009,580,750,220,38,0,803,733,804,871,777,666,767,708,12.1638002,2805,19.2040997,732,749,733,711,871,597,999,1569,1606,951,2076,1713,2172,2223,2173,1491,2169,1293,1320,997,1210,879,1115,0,0,0,0,0,10,28,38,59,57,33,77,137,166,84,163,63,54,27,10,1,0,0,1,1,1,1,1,1,1,2,3,2,3,4,5,3,2,2,2,3,2,1,1,1,1,13615,13714,13750,14027,14458,14537,14937,15550,15282,14999,15411,14538,15058,15340,15356,15070,14542,14746,14464,14429,14045,13893,13730,14674.47826,14604.52174,14586.95455,14554.37778,14574.88889,1274,1435,1318,1287,1306,1018,1388,2243,2410,1526,3151,2464,3686,3292,3171,3014,3231,2015,2247,1823,2094,1577,2179,0,0,0,0,0,9,23,33,54,51,30,70,119,146,75,144,55,48,24,9,1,0,0,9,9,9,7,7,7,6,11,15,12,12,17,21,18,13,11,14,16,13,9,9,9,9,0.0046044,0.0093122,0.0050481,0.0297368,0.109988,0.113239,0.112235,0.124439,0.12508,0.037382,0.0121982,0.0008996,35.33333333,65.08333333,59.66666667,54,38.66666667,423,423,336,200,147,272,179,136,110,93,80,80,1712,2329,851,1271,2296,2623,2177,1741,2880,894,1424,3607,3253,2715,1269,2515,816,1282,2373,2585,2103,1007,1876,447,744,2239,2023,1340,1755,2641,806,1285,3093,3090,2481
‹∏‹∏≤›≤›µÈ,0,0,214,276,504,1012,1009,580,750,220,38,0,810,855,827,884,837,744,797,780,161.5809937,2801,19.7451,609,427,616,520,669,529,897,1052,723,787,1206,1637,1736,854,1586,1178,1427,1280,652,916,927,414,775,0,0,0,0,0,10,28,38,59,57,33,77,137,166,84,163,63,54,27,10,1,0,0,1,1,1,1,1,1,1,2,3,2,3,4,5,3,2,2,2,3,2,1,1,1,1,13615,13714,13750,14027,14458,14537,14937,15550,15282,14999,15411,14538,15058,15340,15356,15070,14542,14746,14464,14429,14045,13893,13730,14609,14575.3913,14545.40909,14513.66667,14526.91111,1168,913,1127,1013,1169,1015,1388,1774,1355,1309,2173,2464,2400,1527,2613,2472,2628,2009,1156,1685,1667,895,1691,0,0,0,0,0,9,23,33,54,51,30,70,119,146,75,144,55,48,24,9,1,0,0,9,9,9,7,7,7,6,11,15,12,12,17,21,18,13,11,14,16,13,9,9,9,9,0.0046044,0.0093122,0.0050481,0.0297368,0.109988,0.113239,0.112235,0.124439,0.12508,0.037382,0.0121982,0.0008996,35.33333333,65.08333333,59.66666667,54,38.66666667,423,423,336,200,147,272,179,136,110,93,80,80,1596,2077,851,1271,2296,2623,2177,1741,2880,894,1424,3607,3253,2715,1581,2117,816,1282,2373,2585,2103,1052,1743,447,744,2239,2023,1340,1710,2570,806,1285,3093,3090,2481
‹∏‹∏≤›≤›µÈ,0,0,214,276,504,1012,1009,580,750,220,38,0,810,855,827,884,837,744,797,780,18.6117992,2767,7.1492801,494,477,449,488,545,519,756,768,1042,987,1206,1637,1711,1247,1263,966,1094,1280,759,665,678,414,387,0,0,0,0,0,10,28,53,54,57,60,89,78,104,90,100,50,55,24,10,1,0,0,1,1,1,1,1,1,1,2,2,3,2,4,5,2,3,3,2,2,1,1,1,1,1,13523,13654,13729,13999,14390,14522,14891,15456,15096,15225,15350,14577,14935,15371,15213,15001,14525,14709,14383,14377,14022,13749,13688,14609,14575.3913,14545.40909,14513.66667,14526.91111,991,1150,859,1011,991,1083,1305,1376,1985,1663,2173,2464,2400,2294,2239,2174,2102,2009,1447,1288,1255,895,1128,0,0,0,0,0,9,23,48,50,51,53,80,71,91,78,88,45,48,18,9,1,0,0,9,9,9,7,7,7,6,9,10,12,12,17,20,12,12,16,13,12,9,9,9,9,9,0.0046044,0.0093122,0.0050481,0.0297368,0.109988,0.113239,0.112235,0.124439,0.12508,0.037382,0.0121982,0.0008996,35.33333333,65.08333333,59.66666667,54,38.66666667,423,423,336,200,147,272,179,136,110,93,80,80,1341,1876,851,1271,2296,2623,2177,1741,2880,792,1363,3554,3196,2585,1274,2029,816,1282,2373,2585,2103,968,1506,453,718,1784,1659,1198,1710,2570,806,1285,3093,3090,2481
‹∏‹∏≤›≤›µÈ,0,0,214,276,504,1012,1009,580,750,220,38,0,834,822,805,880,817,714,853,784,290.5759888,2791,16.2877998,494,477,449,488,545,519,756,768,1042,987,1206,1637,1711,1247,1263,966,1094,1280,759,665,678,414,387,0,0,0,0,0,10,28,53,54,57,60,89,78,104,90,100,50,55,24,10,1,0,0,1,1,1,1,1,1,1,2,2,3,2,4,5,2,3,3,2,2,1,1,1,1,1,13523,13654,13729,13999,14390,14522,14891,15456,15096,15225,15350,14577,14935,15371,15213,15001,14525,14709,14383,14377,14022,13749,13688,14609,14575.3913,14545.40909,14513.66667,14526.91111,991,1150,859,1011,991,1083,1305,1376,1985,1663,2173,2464,2400,2294,2239,2174,2102,2009,1447,1288,1255,895,1128,0,0,0,0,0,9,23,48,50,51,53,80,71,91,78,88,45,48,18,9,1,0,0,9,9,9,7,7,7,6,9,10,12,12,17,20,12,12,16,13,12,9,9,9,9,9,0.0046044,0.0093122,0.0050481,0.0297368,0.109988,0.113239,0.112235,0.124439,0.12508,0.037382,0.0121982,0.0008996,35.33333333,65.08333333,59.66666667,54,38.66666667,423,423,336,200,147,272,179,136,110,93,80,80,1341,1876,851,1271,2296,2623,2177,1741,2880,792,1363,3554,3196,2585,1274,2029,816,1282,2373,2585,2103,968,1506,453,718,1784,1659,1198,1710,2570,806,1285,3093,3090,2481
‹∏‹∏≤›≤›µÈ,0,0,33,639,591,1037,1031,902,716,214,19,0,32767,32767,722,758,630,558,32767,32767,325.947998,2989,14.6229,477,626,241,979,762,699,541,1324,2211,1148,672,2051,1581,3655,3044,2568,1925,2952,555,1078,771,903,604,0,0,0,0,0,0,14,44,70,74,165,101,151,276,310,193,60,81,19,1,0,0,0,1,1,1,1,1,1,2,2,5,5,7,4,9,13,10,7,4,5,4,2,1,1,1,13525,13748,13940,13917,14327,14376,14710,15087,14646,14581,15170,0,0,14826,15018,14847,14446,14605,14314,14296,14226,13811,13920,14724.86957,14668.5,14586.57778,14542.77273,14514.97778,537,974,422,1299,1188,1254,1059,1977,3263,2013,665,3454,2621,5817,5344,4492,3575,4183,1200,1864,1434,1456,1096,0,0,0,0,0,0,12,42,63,65,145,92,134,244,267,170,52,73,16,0,0,0,0,4,9,9,7,7,8,12,12,23,21,30,20,39,48,42,40,24,29,22,15,9,9,9,0.0056007,0.0115761,0.0046669,0.0286307,0.0903855,0.142132,0.0996859,0.118219,0.0970661,0.030356,0.0142822,0.0004966,35.5,60.66666667,58.5,52.58333333,41.41666667,540,540,540,250,175,261,181,140,115,97,97,97,1424,2142,640,1071,2395,2270,1641,1118,2298,538,929,2254,1912,1215,1153,2686,619,1018,2787,1912,1406,977,2571,620,1006,2457,1995,1395,1284,3131,693,1120,3455,2988,1941
‹∏‹∏≤›≤›µÈ,0,0,33,639,591,1037,1031,902,716,214,19,0,766,737,759,739,626,581,32767,714,265.6990051,3021,23.4022999,357,894,772,1175,1220,711,852,1228,1010,1739,1517,2708,2182,3831,4646,5147,2969,3305,1004,1078,1235,860,872,0,0,0,0,0,0,14,44,70,74,165,101,151,276,310,193,60,81,19,1,0,0,0,1,1,1,1,1,1,2,2,5,5,7,4,9,13,10,7,4,5,4,2,1,1,1,13525,13748,13940,13917,14327,14376,14710,15087,14646,14581,15170,0,0,14826,15018,14847,14446,14605,14314,14296,14226,13811,13920,14724.86957,14668.5,14586.57778,14542.77273,14514.97778,402,1231,1226,1529,1688,1269,1423,1953,1928,2928,1622,4396,3439,5396,6334,6427,5047,4545,1924,1864,2091,1326,1618,0,0,0,0,0,0,12,42,63,65,145,92,134,244,267,170,52,73,16,0,0,0,0,4,9,9,7,7,8,12,12,23,21,30,20,39,48,42,40,24,29,22,15,9,9,9,0.0056007,0.0115761,0.0046669,0.0286307,0.0903855,0.142132,0.0996859,0.118219,0.0970661,0.030356,0.0142822,0.0004966,35.5,60.66666667,58.5,52.58333333,41.41666667,540,540,540,250,175,261,181,140,115,97,97,97,1275,2331,640,1071,2395,2270,1641,1008,2590,538,929,2254,1912,1215,900,3010,619,1018,2787,1912,1406,778,3577,620,1006,2457,1995,1395,1220,3253,693,1120,3455,2988,1941
‹∏‹∏≤›≤›µÈ,0,0,33,639,591,1037,1031,902,716,214,19,0,766,737,759,739,626,581,32767,714,253.0209961,3065,23.9552994,357,950,401,1018,682,711,527,1185,1502,1628,1318,1973,2182,1852,1743,1840,857,2267,1004,774,601,860,431,0,0,0,0,0,0,16,90,94,124,176,161,151,276,285,274,121,81,24,1,0,0,0,1,2,2,1,2,2,2,4,6,7,8,3,14,12,11,16,6,8,4,2,1,2,2,13525,13748,13940,13917,14327,14376,14710,15087,14646,14581,15170,0,0,14826,15018,14847,14446,14605,14314,14296,14226,13811,13920,14724.86957,14668.5,14586.57778,14542.77273,14514.97778,402,1308,653,1344,998,1269,1179,1752,2686,2744,1386,3466,3439,3147,3151,3192,1763,3451,1924,1576,1034,1326,796,0,0,0,0,0,0,12,79,85,108,153,145,134,240,245,234,102,73,18,1,0,0,0,9,15,18,7,11,13,12,20,29,31,35,15,49,51,47,54,32,38,22,15,9,16,12,0.0056007,0.0115761,0.0046669,0.0286307,0.0903855,0.142132,0.0996859,0.118219,0.0970661,0.030356,0.0142822,0.0004966,35.5,60.66666667,58.5,52.58333333,41.41666667,540,540,540,250,175,261,181,140,115,97,97,97,1347,2366,381,787,3052,2384,1601,1108,2284,299,688,2873,2284,1192,1195,2293,459,831,2652,2159,1294,1114,2159,313,628,2719,2163,1224,1346,2765,693,1120,3455,2988,1941
